Index,Product_Registration,month,Number_Recordings,File_Hours,ITS_Version,AWC,Turn_Count,Child_Voc_Count,CHN,Child_Voc_Duration,Child_NonVoc_Duration,FAN_Word_Count,FAN,FAN_NonVoc_Duration,MAN_Word_Count,MAN,MAN_NonVoc_Duration,CXN,OLN,TVN,NON,SIL,subj
40,102-000437,07,1,16,4.6.0,32541,363,792,1540.13,624.07,820.85,10203.08,2407.56,2407.56,22337.86,5904.36,5904.36,1446.45,10995.19,1388.72,328.25,21501.64,109
41,102-000437,06,1,14.24,4.6.0,18749,437,1983,3070.26,1238.88,1417.45,11891.15,3133.79,3133.79,6857.43,1686.92,1686.92,478.31,8184.97,12053.27,1257.43,8453.74,342
42,102-000437,07,1,11.56,4.6.0,20045,448,1892,2573.65,1396.14,863.89,7045.42,1847.25,1847.25,12999.61,3541.33,3541.33,240.02,8928.34,1042.36,616.75,10770.97,342
43,102-000437,06,1,14.62,4.6.0,11315,224,1472,3404.9,1405.58,1583.73,8910.98,2271.3,2271.3,2404.95,665.12,665.12,266.53,9681.64,1939.29,546.39,18745.93,268
44,102-000437,07,1,14.37,4.6.0,24870,358,1316,3546.81,1210.19,1946.99,18839.35,4795.8,4795.8,6030.37,1557.06,1557.06,625.92,4269.62,1009.03,613.24,23111.31,268
45,102-000437,06,1,16,4.6.0,11021,245,1305,2581.89,1202.56,1178.28,4989.59,1220.33,1220.33,6031.82,1387.4,1387.4,2383.35,11449.55,3648.69,288.42,22477.83,172
46,102-000437,07,1,16,4.6.0,20665,280,1110,2086.86,951.21,1002.04,7497.86,1919.04,1919.04,13167.11,3181.29,3181.29,1538.63,12943.21,6484.8,539.74,15553.7,172
47,102-000437,06,1,12.77,4.6.0,24564,231,619,1290.97,376.86,687.72,17905.64,5065,5065,6658.15,1725.79,1725.79,855.93,2396.57,2567.66,1500.59,15975.1,189
48,102-000437,07,1,11.5,4.6.0,4520,268,1688,2049.78,1009.16,504.23,3826.09,1244.9,1244.9,693.44,262.05,262.05,417.54,3166.55,1313.76,486.32,21524.58,189
49,102-000437,06,3,16,4.6.0,12,0,0,0,0,0.08,11.6,2.5,2.5,0,0,0,0,0,0,0,0.8,986
50,102-000437,06,3,16,4.6.0,6,0,0,0,0,0,6.36,2.33,2.33,0,0,0,0,3.74,0,0,0,986
51,102-000437,06,3,16,4.6.0,10288,289,1001,1643.29,609.68,848.92,9617.54,2450.76,2450.76,669.76,187.49,187.49,1482.44,5154.74,3854.66,859.3,28976.37,986
52,102-000437,07,1,16,4.6.0,17298,325,743,1049.3,510.22,413.22,16151.56,4056.68,4056.68,1146.24,264.74,264.74,1969.31,5005.91,4872.64,194.81,31992.89,986
53,102-000437,06,1,16,4.6.0,17388,373,1012,1793.97,731.9,863.9,15531.16,4146.13,4146.13,1856.85,611.83,611.83,517.42,7329.04,4870.72,1136.32,25731.98,861
54,102-000437,07,1,16,4.6.0,34900,555,1435,1601.47,1052.07,365.28,30002.07,7886.55,7886.55,4897.47,1379.27,1379.27,551.23,6313.48,4983.25,4358.69,18121.69,861
55,102-000437,06,1,12.09,4.6.0,6943,212,782,1383.87,468.77,759.44,5231.75,1485.82,1485.82,1710.81,796.65,796.65,758.43,3417.51,453.98,5262.92,15962.26,625
56,102-000437,07,1,12.2,4.6.0,5849,65,219,320.49,201.62,126.4,3851.46,1140.23,1140.23,1997.1,532.42,532.42,902.66,3288.07,2496.9,9037.28,12995.36,625
57,102-000437,06,1,14.08,4.6.0,18667,606,2102,3255.59,1764.73,969.11,16338.43,4128.2,4128.2,2328.18,595.27,595.27,682.5,5079.05,1124.21,1041.28,14755.12,926
58,102-000437,07,1,13.21,4.6.0,21227,422,1313,2161.35,1193.66,782.59,19599.22,5250.91,5250.91,1628.35,435.09,435.09,837.69,5636.88,4949.57,4170.4,5821.1,926
59,102-000437,06,1,16,4.6.0,16132,180,548,1714.72,446.84,1307.44,10322.91,2587.46,2587.46,5809.4,1639.3,1639.3,374.84,9403.72,4940.58,1771.21,11996.05,944
