month,onset,offset,onset_500,offset_500,object,FemaleAdult,MaleAdult,Child,Electronic,Overlap,FirstPass,subj
7,3429170,3431170,3428670,3431670,bed,NA,NA,NA,NA,NA,NA,465
7,3435290,3440270,3434790,3440770,bed,NA,NA,NA,NA,NA,NA,465
7,3435290,3440270,3434790,3440770,monkeys,NA,NA,NA,NA,NA,NA,465
7,3435290,3440270,3434790,3440770,doctor,NA,NA,NA,NA,NA,NA,465
7,3435290,3440270,3434790,3440770,bed,NA,NA,NA,NA,NA,NA,465
7,3441880,3447680,3441380,3448180,doctor,NA,NA,NA,NA,NA,NA,465
7,3441880,3447680,3441380,3448180,doctor,NA,NA,NA,NA,NA,NA,465
7,3441880,3447680,3441380,3448180,head,NA,NA,NA,NA,NA,NA,465
7,3449470,3452450,3448970,3452950,bed,NA,NA,NA,NA,NA,NA,465
7,3449470,3452450,3448970,3452950,monkeys,NA,NA,NA,NA,NA,NA,465
7,3524690,3528530,3524190,3529030,sky,NA,NA,NA,NA,NA,NA,465
7,3656050,3657880,3655550,3658380,printer,NA,NA,NA,NA,NA,NA,465
7,3753660,3754470,3753160,3754970,car,NA,NA,NA,NA,NA,NA,465
7,4284210,4286120,4283710,4286620,cookies,NA,NA,NA,NA,NA,NA,465
7,4590510,4591650,4590010,4592150,gums,NA,NA,NA,NA,NA,NA,465
7,4802370,4803650,4801870,4804150,banana,NA,NA,NA,NA,NA,NA,465
7,4905800,4907980,4905300,4908480,spoon,NA,NA,NA,NA,NA,NA,465
7,5331920,5333570,5331420,5334070,cereal,NA,NA,NA,NA,NA,NA,465
7,12994410,12995490,12993910,12995990,overalls,NA,NA,NA,NA,NA,NA,465
7,14576980,14579970,14576480,14580470,nose,NA,NA,NA,NA,NA,NA,465
7,14576980,14579970,14576480,14580470,baba,NA,NA,NA,NA,NA,NA,465
7,14893080,14893990,14892580,14894490,counter,NA,NA,NA,NA,NA,NA,465
7,15621980,15622790,15621480,15623290,bottle,NA,NA,NA,NA,NA,NA,465
7,16003180,16003980,16002680,16004480,grass,NA,NA,NA,NA,NA,NA,465
7,16042270,16043480,16041770,16043980,branch,NA,NA,NA,NA,NA,NA,465
7,16044290,16045930,16043790,16046430,twig,NA,NA,NA,NA,NA,NA,465
7,16053810,16054610,16053310,16055110,branch,NA,NA,NA,NA,NA,NA,465
6,1899340,1900700,1898840,1901200,dog,NA,NA,NA,NA,NA,NA,357
